#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv2804c	8	8	0	0	0.000000
Rv2805	1	1	0	0	-1.000000
Rv2806	6	8	1	2	0.000000
Rv2807	7	12	3	165	0.000000
Rv2808	5	10	4	139	0.001340
Rv2809	7	8	1	2	0.000000
Rv2810c	9	12	1	2	0.000000
Rv2811	2	4	2	76	0.000000
Rv2812	7	19	3	114	0.000000
Rv2813	5	11	4	335	0.390760
Rv2814c	0	1	1	2	-1.000000
Rv2816c	4	14	5	35	0.000000
Rv2817c	5	22	11	564	0.998080
Rv2818c	16	28	4	124	0.000000
Rv2819c	7	23	8	590	0.952060
Rv2820c	12	19	4	148	0.000000
Rv2821c	10	13	2	45	0.000000
Rv2822c	10	13	1	2	0.000000
Rv2823c	30	48	6	347	0.201220
Rv2824c	13	18	2	49	0.000000
Rv2825c	0	2	2	165	-1.000000
Rv2826c	7	11	2	84	0.000000
Rv2827c	0	14	14	776	0.999980
Rv2828c	0	2	2	165	-1.000000
Rv2829c	5	5	0	0	0.000000
Rv2830c	0	1	1	2	-1.000000
Rv2831	2	7	4	140	0.000000
Rv2832c	2	10	7	884	0.977620
Rv2833c	5	19	5	83	0.000000
Rv2834c	5	10	2	15	0.000000
Rv2835c	6	16	5	239	0.001640
Rv2836c	13	24	2	21	0.000000
Rv2837c	0	14	14	898	0.999980
Rv2838c	1	8	7	410	0.986420
Rv2839c	1	30	29	2628	1.000000
Rv2840c	3	7	4	155	0.132420
Rv2841c	1	15	13	920	0.999920
Rv2842c	1	7	4	107	0.000300
Rv2843	1	8	6	504	0.947360
Rv2844	1	5	4	195	0.000200
Rv2845c	1	31	30	1630	1.000000
Rv2846c	1	33	32	1496	1.000000
Rv2847c	0	19	19	1202	1.000000
Rv2848c	17	26	2	48	0.000000
Rv2849c	3	6	3	117	0.000000
Rv2850c	10	17	6	649	0.646280
Rv2851c	6	8	2	56	0.000000
Rv2852c	14	21	2	34	0.000000
Rv2853	25	35	2	88	0.000000
Rv2854	10	18	4	199	0.000020
Rv2855	8	30	8	208	0.000440
Rv2856	6	15	6	238	0.005440
Rv2857c	5	12	5	293	0.347540
Rv2858c	5	14	6	707	0.799280
Rv2859c	15	17	1	2	0.000000
Rv2860c	19	31	2	29	0.000000
Rv2861c	0	16	16	852	1.000000
Rv2862c	4	5	1	2	0.000000
Rv2863	4	4	0	0	0.000000
Rv2864c	15	25	3	17	0.000000
Rv2865	2	3	1	2	0.000000
Rv2866	4	6	1	2	0.000000
Rv2867c	9	12	2	151	0.000000
Rv2868c	1	14	12	1016	0.999840
Rv2869c	2	22	19	1122	1.000000
Rv2870c	2	16	14	1099	1.000000
Rv2871	2	7	3	44	0.000000
Rv2872	10	12	1	2	0.000000
Rv2873	9	14	1	2	0.000000
Rv2874	30	46	4	237	0.000060
Rv2875	11	13	1	2	0.000000
Rv2876	2	2	0	0	-1.000000
Rv2877c	16	20	1	2	0.000000
Rv2878c	7	7	0	0	0.000000
Rv2879c	10	12	1	2	0.000000
Rv2880c	6	7	1	2	0.000000
Rv2881c	1	12	11	770	0.999520
Rv2882c	2	17	15	423	0.999980
Rv2883c	1	11	10	649	0.998900
Rv2884	12	15	2	89	0.000000
Rv2885c	9	14	5	245	0.003080
Rv2886c	14	21	2	29	0.000000
Rv2887	6	9	1	2	0.000000
Rv2888c	28	33	1	2	0.000000
Rv2889c	1	10	9	668	0.996100
Rv2890c	0	9	9	856	0.997720
Rv2891	9	13	2	92	0.000000
Rv2892c	14	18	2	88	0.000000
Rv2893	7	11	2	13	0.000000
Rv2894c	5	12	3	141	0.000000
Rv2895c	10	13	1	2	0.000000
Rv2896c	15	21	3	67	0.000000
Rv2897c	4	11	7	594	0.929780
Rv2898c	1	4	2	86	-1.000000
Rv2899c	4	14	4	218	0.000180
Rv2900c	17	34	4	300	0.021660
Rv2901c	8	10	2	37	0.000000
Rv2902c	8	12	2	66	0.000000
Rv2903c	0	13	13	650	0.999940
Rv2904c	0	4	4	101	-1.000000
Rv2905	11	16	3	270	0.006500
Rv2906c	0	11	11	681	0.999660
Rv2907c	0	8	8	520	0.993740
Rv2908c	1	7	6	138	0.924260
Rv2909c	1	7	6	207	0.032920
Rv2910c	8	10	1	2	0.000000
Rv2911	7	11	3	78	0.000000
Rv2912c	5	9	4	159	0.000000
Rv2913c	16	29	5	380	0.172460
Rv2914c	23	27	1	2	0.000000
Rv2915c	10	14	2	331	0.048820
Rv2916c	1	11	10	1393	0.999800
Rv2917	20	24	1	2	0.000000
Rv2918c	16	27	3	96	0.000000
Rv2919c	3	6	2	50	0.000000
Rv2920c	12	20	2	25	0.000000
Rv2921c	0	14	14	1187	1.000000
Rv2922A	1	2	1	2	-1.000000
Rv2922c	19	42	5	444	0.067780
Rv2923c	3	5	2	34	0.000000
Rv2924c	12	15	2	6	0.000000
Rv2925c	1	12	11	524	0.999520
Rv2926c	2	6	3	33	0.000000
Rv2927c	2	13	11	617	0.999260
Rv2928	11	27	7	188	0.000100
Rv2929	3	6	2	37	0.000000
Rv2930	23	40	8	200	0.000100
Rv2931	59	81	2	52	0.000000
Rv2932	54	71	5	299	0.013580
Rv2933	64	84	3	158	0.000000
Rv2934	50	68	3	60	0.000000
Rv2935	57	68	2	14	0.000000
Rv2936	13	19	1	2	0.000000
Rv2937	12	23	5	160	0.000000
Rv2938	21	26	2	19	0.000000
Rv2939	23	29	3	74	0.000000
Rv2940c	67	82	2	67	0.000000
Rv2941	30	47	4	73	0.000000
Rv2942	30	42	3	157	0.000000
Rv2943	9	11	1	2	0.000000
Rv2943A	4	7	2	65	0.000000
Rv2944	3	5	1	2	0.000000
Rv2945c	10	11	1	2	0.000000
Rv2946c	41	51	2	108	0.000000
Rv2947c	18	21	1	2	0.000000
Rv2948c	36	48	3	72	0.000000
Rv2949c	8	22	8	219	0.009160
Rv2950c	32	46	3	23	0.000000
Rv2951c	18	24	2	47	0.000000
Rv2952	11	16	2	168	0.000000
Rv2953	16	26	5	66	0.000000
Rv2954c	10	13	2	34	0.000000
Rv2955c	19	21	1	2	0.000000
Rv2956	6	18	3	89	0.000000
Rv2957	14	19	2	31	0.000000
Rv2958c	24	25	1	2	0.000000
Rv2959c	10	32	5	56	0.000000
Rv2960c	7	8	1	2	0.000000
Rv2961	5	7	1	2	0.000000
Rv2962c	17	22	2	43	0.000000
Rv2963	20	25	2	25	0.000000
Rv2964	12	17	2	223	0.000020
Rv2965c	1	5	4	352	0.755040
Rv2966c	6	8	2	79	0.000000
Rv2967c	18	63	8	184	0.000060
Rv2968c	0	11	11	552	0.999560
Rv2969c	0	11	11	631	0.999700
Rv2970A	3	4	1	2	-1.000000
Rv2970c	14	17	2	37	0.000000
Rv2971	1	15	14	606	0.999980
Rv2972c	10	13	3	155	0.000000
Rv2973c	13	30	9	852	0.975880
Rv2974c	17	21	2	17	0.000000
Rv2975c	1	2	1	2	-1.000000
Rv2976c	3	8	3	86	0.000000
Rv2977c	0	9	9	988	0.998220
Rv2978c	3	11	5	261	0.016540
Rv2979c	6	7	1	2	0.000000
Rv2980	0	7	7	469	0.987360
Rv2981c	0	14	14	1053	0.999980
Rv2982c	11	13	1	2	0.000000
Rv2983	1	6	3	251	0.003780
Rv2984	0	32	32	2101	1.000000
Rv2985	10	16	3	133	0.000000
Rv2986c	1	9	8	492	0.992300
Rv2987c	1	10	9	540	0.997340
Rv2988c	0	13	13	1103	0.999980
Rv2989	5	9	2	67	0.000000
Rv2990c	14	19	2	89	0.000000
Rv2991	4	6	1	2	0.000000
Rv2992c	0	19	19	1201	1.000000
Rv2993c	2	9	3	360	0.231960
Rv2994	12	20	3	151	0.000000
Rv2995c	0	9	9	723	0.997500
Rv2996c	0	11	11	1152	0.999840
Rv2997	9	17	3	47	0.000000
Rv2998	5	5	0	0	0.000000
Rv2998A	0	1	1	2	-1.000000
Rv2999	5	12	4	250	0.002480
Rv3000	5	8	1	2	0.000000
Rv3001c	1	14	13	841	0.999900
Rv3002c	1	5	4	84	0.036460
Rv3003c	0	15	15	1461	1.000000
Rv3004	1	4	2	84	0.000000
Rv3005c	15	21	2	30	0.000000
Rv3006	0	16	16	926	0.999960
Rv3007c	7	10	1	2	0.000000
Rv3008	17	19	1	2	0.000000
Rv3009c	0	19	19	1458	1.000000
Rv3010c	8	11	2	229	0.000020
Rv3011c	1	24	23	1350	1.000000
Rv3013	7	8	1	2	0.000000
Rv3014c	1	14	13	1898	1.000000
Rv3015c	6	9	2	188	0.000000
Rv3016	11	12	1	2	0.000000
Rv3017c	9	11	1	2	0.000000
Rv3018c	7	21	6	74	0.000000
Rv3019c	7	10	3	79	0.000000
Rv3020c	3	9	2	14	0.000000
Rv3021c	1	17	14	225	0.996580
Rv3022A	5	6	1	2	0.000000
Rv3023c	0	2	2	44	-1.000000
Rv3024c	0	13	13	913	0.999960
Rv3025c	0	17	17	1152	1.000000
Rv3026c	8	11	2	35	0.000000
Rv3027c	12	18	2	17	0.000000
Rv3028c	1	12	11	877	0.999640
Rv3029c	0	9	9	762	0.997260
Rv3030	1	11	9	585	0.995160
Rv3031	0	20	20	1325	1.000000
Rv3032	0	11	11	1217	0.999860
Rv3033	2	4	2	80	0.000000
Rv3034c	2	14	11	617	0.998980
Rv3035	1	19	18	1034	1.000000
Rv3036c	13	16	1	2	0.000000
Rv3037c	12	16	2	13	0.000000
Rv3038c	1	13	12	859	0.999800
Rv3039c	2	11	8	505	0.984780
Rv3040c	9	13	2	75	0.000000
Rv3041c	5	9	2	163	0.000000
Rv3042c	1	12	11	945	0.999520
Rv3043c	1	26	25	1592	1.000000
Rv3044	1	17	16	996	1.000000
Rv3045	12	20	2	40	0.000000
Rv3046c	1	2	1	2	-1.000000
Rv3047c	4	5	1	2	0.000000
Rv3048c	1	23	22	907	1.000000
Rv3049c	29	34	2	56	0.000000
Rv3050c	3	8	3	83	0.000000
Rv3051c	1	56	55	2003	1.000000
Rv3052c	0	15	15	447	1.000000
Rv3053c	1	9	8	132	0.155840
Rv3054c	6	6	0	0	0.000000
Rv3055	5	7	2	8	0.000000
Rv3056	18	21	1	2	0.000000
Rv3057c	16	19	2	31	0.000000
Rv3058c	7	10	2	22	0.000000
Rv3059	23	25	1	2	0.000000
Rv3060c	15	25	5	288	0.071720
Rv3061c	18	24	3	31	0.000000
Rv3062	13	20	3	76	0.000000
Rv3063	27	31	2	153	0.000000
Rv3064c	10	10	0	0	0.000000
Rv3065	9	9	0	0	0.000000
Rv3066	3	10	4	96	0.000000
Rv3067	5	8	2	35	0.000000
Rv3068c	27	32	2	17	0.000000
Rv3069	5	6	1	2	0.000000
Rv3070	7	9	1	2	0.000000
Rv3071	12	16	1	2	0.000000
Rv3072c	8	9	1	2	0.000000
Rv3073c	5	5	0	0	0.000000
Rv3074	10	16	2	76	0.000000
Rv3075c	8	16	3	303	0.055840
Rv3076	3	6	1	2	0.000000
Rv3077	28	37	3	91	0.000000
Rv3078	5	6	1	2	0.000000
Rv3079c	12	18	3	151	0.000000
Rv3080c	23	33	2	36	0.000000
Rv3081	10	19	3	83	0.000000
Rv3082c	10	19	3	66	0.000000
Rv3083	23	26	1	2	0.000000
Rv3084	11	14	1	2	0.000000
Rv3085	3	5	2	53	0.000000
Rv3086	11	11	0	0	0.000000
Rv3087	14	14	0	0	0.000000
Rv3088	10	13	1	2	0.000000
Rv3089	15	22	2	89	0.000000
Rv3090	7	10	2	28	0.000000
Rv3091	14	16	1	2	0.000000
Rv3092c	7	10	1	2	0.000000
Rv3093c	11	17	3	83	0.000000
Rv3094c	8	11	2	50	0.000000
Rv3095	8	9	1	2	0.000000
Rv3096	14	16	1	2	0.000000
Rv3097c	22	28	1	2	0.000000
Rv3098c	8	9	1	2	0.000000
Rv3099c	4	6	2	22	0.000000
Rv3100c	1	4	3	278	0.159340
Rv3101c	0	19	19	874	1.000000
Rv3102c	0	9	9	659	0.997360
Rv3103c	6	7	1	2	0.000000
Rv3104c	7	12	2	55	0.000000
Rv3105c	0	17	17	1119	1.000000
Rv3106	13	18	3	41	0.000000
Rv3107c	14	22	3	79	0.000000
Rv3108	3	8	3	121	0.000000
Rv3109	8	42	14	369	0.999720
Rv3110	3	9	6	102	0.000000
Rv3111	5	14	8	277	0.877320
Rv3112	0	7	7	235	0.998880
Rv3113	2	8	4	49	0.000000
Rv3114	4	8	2	93	0.000000
Rv3115	0	2	2	44	-1.000000
Rv3116	21	29	2	83	0.000000
Rv3117	1	1	0	0	-1.000000
Rv3118	1	1	0	0	-1.000000
Rv3119	12	12	0	0	0.000000
Rv3120	6	9	2	45	0.000000
Rv3121	14	26	6	149	0.000020
Rv3122	5	8	2	18	0.000000
Rv3123	4	5	1	2	0.000000
Rv3124	13	31	16	363	0.999960
Rv3125c	16	22	3	200	0.000020
Rv3126c	0	2	2	72	-1.000000
Rv3127	7	18	5	181	0.000020
Rv3129	2	5	2	22	0.000000
Rv3130c	16	26	3	101	0.000000
Rv3131	7	15	3	94	0.000000
Rv3132c	13	31	4	103	0.000000
Rv3133c	8	12	2	12	0.000000
Rv3134c	8	10	1	2	0.000000
Rv3135	9	9	0	0	0.000000
Rv3136	9	22	3	221	0.000040
Rv3137	0	9	9	766	0.997640
Rv3138	17	21	1	2	0.000000
Rv3139	10	23	4	181	0.000000
Rv3140	9	20	7	260	0.060920
Rv3141	11	17	3	73	0.000000
Rv3142c	7	10	1	2	0.000000
Rv3143	2	5	3	97	0.000000
Rv3144c	13	17	1	2	0.000000
Rv3145	7	12	3	60	0.000000
Rv3146	5	9	2	20	0.000000
Rv3147	6	14	3	131	0.000000
Rv3148	2	22	17	902	1.000000
Rv3149	5	9	2	162	0.000000
Rv3150	7	25	7	305	0.663260
Rv3151	11	30	6	489	0.363320
Rv3152	8	28	6	177	0.000000
Rv3153	10	22	6	118	0.000000
Rv3154	9	10	1	2	0.000000
Rv3155	2	6	3	166	0.000280
Rv3156	15	35	6	414	0.343260
Rv3157	8	33	15	831	0.999940
Rv3158	24	32	2	37	0.000000
Rv3159c	15	27	4	293	0.023180
Rv3160c	4	8	2	122	0.000000
Rv3161c	11	24	4	132	0.000000
Rv3162c	6	6	0	0	0.000000
Rv3163c	9	15	4	309	0.126040
Rv3164c	4	13	4	206	0.000040
Rv3165c	2	5	2	52	0.000000
Rv3166c	7	15	3	147	0.000000
Rv3167c	6	9	1	2	0.000000
Rv3168	7	20	7	140	0.000000
Rv3169	12	20	2	22	0.000000
Rv3170	9	18	8	297	0.842880
Rv3171c	8	13	2	65	0.000000
Rv3172c	12	18	2	23	0.000000
Rv3173c	2	7	4	58	0.000000
Rv3174	6	13	2	84	0.000000
Rv3175	17	22	2	100	0.000000
Rv3176c	7	14	4	92	0.000000
Rv3177	4	8	2	38	0.000000
Rv3178	5	8	2	57	0.000000
Rv3179	15	15	0	0	0.000000
Rv3180c	5	6	1	2	0.000000
Rv3181c	2	6	3	29	0.000000
Rv3182	1	1	0	0	-1.000000
Rv3183	1	3	1	2	0.000000
Rv3188	6	7	1	2	0.000000
Rv3189	9	9	0	0	0.000000
Rv3190c	17	23	3	76	0.000000
Rv3191c	15	19	2	10	0.000000
Rv3192	3	4	1	2	-1.000000
Rv3193c	5	83	40	1224	1.000000
Rv3194c	10	16	3	62	0.000000
Rv3195	15	17	1	2	0.000000
Rv3196	8	9	1	2	0.000000
Rv3196A	2	2	0	0	-1.000000
Rv3197	15	19	1	2	0.000000
Rv3197A	4	5	1	2	0.000000
Rv3198A	5	7	2	16	0.000000
Rv3198c	5	35	30	1676	1.000000
Rv3199c	8	8	0	0	0.000000
Rv3200c	10	17	3	110	0.000000
Rv3201c	29	48	5	249	0.000180
Rv3202c	20	29	6	537	0.320640
Rv3203	8	13	2	40	0.000000
Rv3204	3	4	1	2	0.000000
Rv3205c	6	15	3	93	0.000000
Rv3206c	2	25	23	1094	1.000000
Rv3207c	9	18	5	164	0.000000
Rv3208	1	11	10	508	0.999120
Rv3208A	3	4	1	2	0.000000
Rv3209	8	10	1	2	0.000000
Rv3210c	1	11	10	511	0.998440
Rv3211	8	24	9	422	0.960540
Rv3212	1	21	20	1177	1.000000
Rv3213c	9	12	2	78	0.000000
Rv3214	4	11	3	63	0.000000
Rv3215	0	16	16	999	1.000000
Rv3216	4	6	1	2	0.000000
Rv3217c	3	3	0	0	0.000000
Rv3218	14	18	2	57	0.000000
Rv3219	0	4	4	186	0.981020
Rv3220c	19	22	2	34	0.000000
Rv3221A	0	3	3	128	-1.000000
Rv3221c	1	3	2	36	-1.000000
Rv3222c	0	7	7	424	0.989700
Rv3223c	10	15	2	24	0.000000
Rv3224	13	17	2	161	0.000000
Rv3224A	2	2	0	0	-1.000000
Rv3224B	2	3	1	2	0.000000
Rv3225c	25	28	1	2	0.000000
Rv3226c	6	6	0	0	0.000000
Rv3227	0	8	8	1248	0.998260
Rv3228	2	9	4	639	0.460640
Rv3229c	6	25	10	588	0.992180
Rv3230c	0	16	16	1119	1.000000
Rv3231c	6	6	0	0	0.000000
Rv3232c	22	24	1	2	0.000000
Rv3233c	13	13	0	0	0.000000
Rv3234c	14	18	2	10	0.000000
Rv3235	4	6	1	2	0.000000
Rv3236c	11	15	2	127	0.000000
Rv3237c	5	8	2	20	0.000000
Rv3238c	17	21	2	35	0.000000
Rv3239c	48	56	3	165	0.000000
Rv3240c	3	47	43	2369	1.000000
Rv3241c	12	12	0	0	0.000000
Rv3242c	2	4	1	2	0.000000
Rv3243c	3	4	1	2	0.000000
Rv3244c	0	21	21	1606	1.000000
Rv3245c	0	20	20	1570	1.000000
Rv3246c	0	11	11	555	0.999640
Rv3247c	0	10	10	605	0.999120
Rv3248c	0	23	23	1437	1.000000
Rv3249c	4	13	7	363	0.953960
Rv3250c	3	3	0	0	-1.000000
Rv3251c	5	5	0	0	0.000000
Rv3252c	23	30	2	42	0.000000
Rv3253c	17	25	3	46	0.000000
Rv3254	16	20	2	36	0.000000
Rv3255c	0	21	21	1118	1.000000
Rv3256c	6	10	2	92	0.000000
Rv3257c	0	24	24	1309	1.000000
Rv3258c	1	6	5	427	0.909320
Rv3259	3	3	0	0	0.000000
Rv3260c	0	2	2	109	-1.000000
Rv3261	4	14	7	327	0.908560
Rv3262	4	13	3	56	0.000000
Rv3263	26	30	1	2	0.000000
Rv3264c	0	17	17	1017	1.000000
Rv3265c	1	17	16	758	1.000000
Rv3266c	0	17	17	875	1.000000
Rv3267	2	23	8	336	0.888080
Rv3268	11	13	1	2	0.000000
Rv3269	0	5	5	182	0.992540
Rv3270	7	18	5	602	0.296860
Rv3271c	2	6	4	286	0.299580
Rv3272	13	19	2	65	0.000000
Rv3273	21	32	2	63	0.000000
Rv3274c	10	18	2	80	0.000000
Rv3275c	1	7	6	354	0.981540
Rv3276c	1	10	8	981	0.993260
Rv3277	2	13	10	487	0.997860
Rv3278c	7	8	1	2	0.000000
Rv3279c	0	7	7	645	0.983020
Rv3280	0	32	32	1557	1.000000
Rv3281	0	3	3	130	-1.000000
Rv3282	5	12	5	63	0.000000
Rv3283	18	20	1	2	0.000000
Rv3284	5	5	0	0	0.000000
Rv3285	1	27	26	1718	1.000000
Rv3286c	10	12	1	2	0.000000
Rv3287c	2	3	1	2	0.000000
Rv3288c	9	11	1	2	0.000000
Rv3289c	6	7	1	2	0.000000
Rv3290c	20	26	2	13	0.000000
Rv3291c	3	12	5	26	0.000000
Rv3292	15	20	2	87	0.000000
Rv3293	11	17	3	99	0.000000
Rv3294c	16	21	1	2	0.000000
Rv3295	11	12	1	2	0.000000
Rv3296	41	56	2	76	0.000000
Rv3297	7	10	2	114	0.000000
Rv3298c	10	13	1	2	0.000000
Rv3299c	24	46	5	687	0.136120
Rv3300c	7	11	1	2	0.000000
Rv3301c	6	10	2	50	0.000000
Rv3302c	0	28	28	1503	1.000000
Rv3303c	5	22	8	535	0.923520
Rv3304	6	12	4	95	0.000000
Rv3305c	10	21	6	451	0.626880
Rv3306c	9	15	3	139	0.000000
Rv3307	8	12	2	26	0.000000
Rv3308	12	20	3	118	0.000000
Rv3309c	5	8	2	104	0.000000
Rv3310	16	18	1	2	0.000000
Rv3311	8	17	3	359	0.065840
Rv3312A	5	6	1	2	0.000000
Rv3312c	13	18	1	2	0.000000
Rv3313c	7	13	5	185	0.000000
Rv3314c	9	12	1	2	0.000000
Rv3315c	4	5	1	2	0.000000
Rv3316	5	6	1	2	0.000000
Rv3317	4	4	0	0	0.000000
Rv3318	16	32	5	131	0.000000
Rv3319	4	8	2	11	0.000000
Rv3320c	3	6	2	21	0.000000
Rv3321c	2	3	1	2	0.000000
Rv3322c	5	8	1	2	0.000000
Rv3323c	10	15	2	13	0.000000
Rv3324c	7	10	1	2	0.000000
Rv3327	9	10	1	2	0.000000
Rv3328c	9	12	2	33	0.000000
Rv3329	18	22	2	47	0.000000
Rv3330	16	20	2	32	0.000000
Rv3331	18	25	2	156	0.000000
Rv3332	4	6	1	2	0.000000
Rv3333c	9	12	2	197	0.000000
Rv3334	8	10	1	2	0.000000
Rv3335c	6	12	3	104	0.000000
Rv3336c	0	16	16	999	1.000000
Rv3337	6	9	2	11	0.000000
Rv3338	2	4	1	2	0.000000
Rv3339c	23	27	2	72	0.000000
Rv3340	3	17	7	348	0.819580
Rv3341	0	15	15	1027	1.000000
Rv3342	3	9	6	511	0.914340
Rv3343c	63	131	18	827	0.999860
Rv3344c	3	6	2	209	0.000000
Rv3345c	24	47	6	461	0.165540
Rv3346c	3	4	1	2	0.000000
Rv3347c	88	119	5	64	0.000000
Rv3349c	3	4	1	2	0.000000
Rv3350c	84	126	12	282	0.565720
Rv3351c	13	15	1	2	0.000000
Rv3352c	2	2	0	0	-1.000000
Rv3353c	3	4	1	2	0.000000
Rv3354	6	7	1	2	0.000000
Rv3355c	1	4	3	184	0.855060
Rv3356c	0	9	9	655	0.997660
Rv3357	5	5	0	0	0.000000
Rv3358	3	4	1	2	-1.000000
Rv3359	16	19	1	2	0.000000
Rv3360	3	3	0	0	-1.000000
Rv3361c	1	5	3	109	0.000000
Rv3362c	3	7	4	294	0.345840
Rv3363c	6	7	1	2	0.000000
Rv3364c	3	4	1	2	0.000000
Rv3365c	25	33	2	161	0.000000
Rv3366	5	7	1	2	0.000000
Rv3367	18	24	2	59	0.000000
Rv3368c	8	9	1	2	0.000000
Rv3369	5	7	1	2	0.000000
Rv3370c	24	35	4	84	0.000000
Rv3371	15	23	3	33	0.000000
Rv3372	0	9	9	849	0.997800
Rv3373	3	3	0	0	0.000000
Rv3374	3	3	0	0	-1.000000
Rv3375	12	22	3	68	0.000000
Rv3376	9	9	0	0	0.000000
Rv3377c	17	58	16	302	0.999660
Rv3378c	4	40	16	311	0.999920
Rv3379c	18	35	4	153	0.000000
Rv3380c	0	1	1	2	-1.000000
Rv3382c	8	12	2	10	0.000000
Rv3383c	10	19	5	170	0.000000
Rv3384c	2	3	1	2	0.000000
Rv3385c	2	3	1	2	0.000000
Rv3386	9	12	2	62	0.000000
Rv3387	3	5	2	69	0.000000
Rv3388	13	20	3	149	0.000000
Rv3389c	10	10	0	0	0.000000
Rv3390	11	12	1	2	0.000000
Rv3391	23	36	3	155	0.000000
Rv3392c	6	13	6	587	0.866560
Rv3393	7	10	3	142	0.000000
Rv3394c	13	16	1	2	0.000000
Rv3395A	8	11	2	76	0.000000
Rv3395c	3	4	1	2	0.000000
Rv3396c	0	17	17	1502	1.000000
Rv3397c	8	20	4	148	0.000000
Rv3398c	4	11	4	527	0.315940
Rv3399	12	19	4	81	0.000000
Rv3400	7	15	4	348	0.280180
Rv3401	29	36	2	42	0.000000
Rv3402c	21	27	2	13	0.000000
Rv3403c	23	25	1	2	0.000000
Rv3404c	10	11	1	2	0.000000
Rv3405c	3	9	2	52	0.000000
Rv3406	14	17	2	79	0.000000
Rv3407	3	3	0	0	-1.000000
Rv3408	8	9	1	2	0.000000
Rv3409c	15	22	3	371	0.041960
Rv3410c	0	14	14	1040	1.000000
Rv3411c	1	16	14	1523	1.000000
Rv3412	8	9	1	2	0.000000
Rv3413c	5	6	1	2	0.000000
Rv3414c	7	9	1	2	0.000000
Rv3415c	6	11	4	101	0.000000
Rv3416	5	5	0	0	0.000000
Rv3417c	8	16	2	195	0.000000
Rv3418c	0	5	5	92	-1.000000
Rv3419c	4	12	3	131	0.000000
Rv3420c	7	11	2	44	0.000000
Rv3421c	5	12	3	225	0.000140
Rv3422c	1	6	4	176	0.000000
Rv3423c	0	21	21	1123	1.000000
Rv3424c	2	3	1	2	0.000000
Rv3425	14	20	2	64	0.000000
Rv3426	5	21	6	207	0.000520
Rv3427c	9	12	3	205	0.000020
Rv3428c	7	17	4	338	0.154520
Rv3429	17	24	3	102	0.000000
Rv3430c	17	20	2	55	0.000000
Rv3431c	6	9	2	12	0.000000
Rv3432c	21	23	1	2	0.000000
Rv3433c	4	10	3	198	0.000000
Rv3434c	9	11	2	27	0.000000
Rv3435c	9	13	3	177	0.000000
Rv3436c	0	31	31	1856	1.000000
Rv3437	6	10	2	30	0.000000
Rv3438	4	13	6	229	0.002660
Rv3439c	10	10	0	0	0.000000
Rv3440c	6	8	1	2	0.000000
Rv3441c	0	14	14	713	0.999980
Rv3442c	0	7	7	345	0.995680
Rv3443c	0	7	7	410	0.990520
Rv3444c	4	4	0	0	0.000000
Rv3445c	4	5	1	2	0.000000
Rv3446c	12	15	1	2	0.000000
Rv3447c	20	46	5	320	0.050320
Rv3448	14	26	3	35	0.000000
Rv3449	12	21	3	103	0.000000
Rv3450c	13	14	1	2	0.000000
Rv3451	12	15	2	28	0.000000
Rv3452	7	8	1	2	0.000000
Rv3453	9	12	1	2	0.000000
Rv3454	16	28	3	82	0.000000
Rv3455c	1	12	8	384	0.976580
Rv3456c	0	7	7	382	0.992360
Rv3457c	1	14	13	929	0.999940
Rv3458c	0	14	14	596	1.000000
Rv3459c	1	3	2	350	0.548480
Rv3460c	0	10	10	339	0.999720
Rv3461c	0	3	3	106	-1.000000
Rv3462c	0	6	6	199	0.996660
Rv3463	13	18	2	25	0.000000
Rv3464	0	23	23	967	1.000000
Rv3465	1	9	8	372	0.989540
Rv3466	1	4	3	319	0.507300
Rv3467	1	1	0	0	-1.000000
Rv3468c	10	18	4	245	0.000580
Rv3469c	8	12	2	59	0.000000
Rv3470c	8	20	6	402	0.508620
Rv3471c	5	6	1	2	0.000000
Rv3472	10	12	2	9	0.000000
Rv3473c	8	9	1	2	0.000000
Rv3476c	34	39	2	136	0.000000
Rv3477	4	6	1	2	0.000000
Rv3478	9	16	2	25	0.000000
Rv3479	33	39	2	46	0.000000
Rv3480c	22	30	2	65	0.000000
Rv3481c	9	10	1	2	0.000000
Rv3482c	10	11	1	2	0.000000
Rv3483c	9	11	2	28	0.000000
Rv3484	5	28	10	390	0.982820
Rv3485c	9	11	2	21	0.000000
Rv3486	6	6	0	0	0.000000
Rv3487c	11	13	1	2	0.000000
Rv3488	3	5	1	2	0.000000
Rv3489	1	4	3	134	0.582920
Rv3490	1	31	22	1024	1.000000
Rv3491	9	12	1	2	0.000000
Rv3492c	6	10	2	8	0.000000
Rv3493c	6	13	4	96	0.000000
Rv3494c	18	26	2	18	0.000000
Rv3495c	9	14	2	91	0.000000
Rv3496c	21	26	3	51	0.000000
Rv3497c	15	18	1	2	0.000000
Rv3498c	8	11	2	68	0.000000
Rv3499c	21	31	2	27	0.000000
Rv3500c	16	23	2	71	0.000000
Rv3501c	8	11	1	2	0.000000
Rv3502c	7	11	1	2	0.000000
Rv3503c	3	3	0	0	-1.000000
Rv3504	17	20	1	2	0.000000
Rv3505	5	13	4	231	0.000340
Rv3506	20	26	1	2	0.000000
Rv3507	19	39	8	857	0.848960
