Rv_ID,sanger_level_II
Rv1698,V - Conserved hypotheticals
Rv1700,V - Conserved hypotheticals
Rv1709,V - Conserved hypotheticals
Rv1710,V - Conserved hypotheticals
Rv1711,V - Conserved hypotheticals
Rv1713,V - Conserved hypotheticals
Rv1716,V - UNKNOWN FUNCTION
Rv1717,V - Conserved hypotheticals
Rv1718,V - UNKNOWN FUNCTION
Rv1720c,V - Conserved hypotheticals
Rv1725c,V - Conserved hypotheticals
Rv1727,V - UNKNOWN FUNCTION
Rv1728c,V - UNKNOWN FUNCTION
Rv1729c,V - Conserved hypotheticals
Rv1732c,V - Conserved hypotheticals
Rv1738,V - UNKNOWN FUNCTION
Rv1740,V - Conserved hypotheticals
Rv1741,V - Conserved hypotheticals
Rv1745c,V - Conserved hypotheticals
Rv1754c,V - UNKNOWN FUNCTION
Rv1760,V - Conserved hypotheticals
